resistance_thumb,bend_thumb,resistance_index,bend_index,resistance_mid,bend_mid,resistance_ring,bend_ring,x,y,z,stage
19528.23,57,12173.33,13,0.97,-60,37180,163,60,25,-105,1
19528.23,57,11311.04,7,1.3,-59,37180,163,62,27,-105,1
18425,50,10560,3,0.65,-60,37180,163,62,24,-104,2
19528.23,57,10219.69,1,2.93,-59,37180,163,61,26,-104,1
16549.5,39,10219.69,1,37180,163,30360,122,61,28,-105,0
15745.71,34,9599.12,-2,23783.57,82,19528.23,57,61,27,-107,0
15015,30,9599.12,-2,17437.89,44,15015,30,59,26,-105,0
14347.83,26,9047.5,-5,15015,30,14347.83,26,60,26,-104,0
13173.6,19,9315.43,-4,12173.33,13,13736.25,22,60,24,-105,0
12173.33,13,9599.12,-2,11311.04,7,15015,30,59,26,-106,0
12173.33,13,9315.43,-4,11311.04,7,13173.6,19,58,25,-107,0
11311.04,7,9315.43,-4,10923,5,12173.33,13,59,26,-107,0
10923,5,9315.43,-4,10923,5,11726.79,10,59,24,-105,0
10560,3,9315.43,-4,10219.69,1,10923,5,60,26,-107,0
10560,3,9047.5,-5,10219.69,1,10923,5,61,26,-106,0
10219.69,1,9315.43,-4,10219.69,1,10560,3,60,26,-107,0
9900,0,9047.5,-5,9900,0,10560,3,60,24,-105,0
10219.69,1,9047.5,-5,9599.12,-2,10560,3,62,24,-106,0
9900,0,9315.43,-4,9900,0,10219.69,1,60,25,-106,0
10219.69,1,9599.12,-2,10560,3,9599.12,-2,63,26,-103,0
10219.69,1,10219.69,1,10219.69,1,9599.12,-2,63,27,-104,0
9900,0,9599.12,-2,10560,3,9900,0,61,25,-104,0
9900,0,9599.12,-2,10219.69,1,9599.12,-2,63,25,-106,0
10560,3,9900,0,10560,3,9599.12,-2,64,25,-105,0
10219.69,1,10219.69,1,10923,5,9599.12,-2,63,26,-106,0
11311.04,7,10560,3,11311.04,7,9900,0,64,26,-107,0
12654.23,15,11726.79,10,11726.79,10,9599.12,-2,66,27,-105,0
13736.25,22,12173.33,13,12654.23,15,9315.43,-4,64,27,-104,0
15745.71,34,13173.6,19,13736.25,22,9900,0,65,26,-107,0
16549.5,39,13736.25,22,15745.71,34,12173.33,13,66,25,-105,1
16549.5,39,15015,30,15015,30,13173.6,19,65,28,-104,1
18425,50,17437.89,44,7707.86,-13,15015,30,65,26,-105,1
19528.23,57,18425,50,8326.15,-10,15015,30,64,26,-104,1
20769.38,64,18425,50,10560,3,16549.5,39,67,27,-105,1
22176,73,20769.38,64,15015,30,16549.5,39,65,27,-105,1
23783.57,82,23783.57,82,16549.5,39,16549.5,39,67,27,-106,1
27802.5,106,22176,73,18425,50,17437.89,44,67,26,-105,1
27802.5,106,23783.57,82,20769.38,64,18425,50,65,25,-105,1
27802.5,106,23783.57,82,20769.38,64,19528.23,57,64,28,-107,1
30360,122,27802.5,106,16549.5,39,22176,73,64,25,-106,1
27802.5,106,25638.46,93,17437.89,44,25638.46,93,62,27,-106,1
30360,122,25638.46,93,16549.5,39,25638.46,93,66,27,-106,2
30360,122,27802.5,106,17437.89,44,27802.5,106,66,28,-105,2
33429,140,33429,140,17437.89,44,30360,122,65,27,-106,2
30360,122,30360,122,17437.89,44,30360,122,68,26,-106,2
30360,122,33429,140,19528.23,57,33429,140,65,27,-105,2
30360,122,33429,140,17437.89,44,30360,122,66,28,-104,2
27802.5,106,37180,163,17437.89,44,25638.46,93,65,27,-106,2
25638.46,93,37180,163,18425,50,30360,122,66,27,-105,2
20769.38,64,37180,163,18425,50,33429,140,65,28,-103,2
22176,73,41868.75,191,37180,163,37180,163,68,29,-105,2
19528.23,57,33429,140,33429,140,41868.75,191,65,28,-104,2
20769.38,64,33429,140,27802.5,106,37180,163,68,28,-104,2
17437.89,44,33429,140,25638.46,93,41868.75,191,66,29,-104,2
18425,50,23783.57,82,17437.89,44,37180,163,66,28,-105,2
17437.89,44,15745.71,34,15015,30,33429,140,67,30,-105,2
16549.5,39,12173.33,13,12654.23,15,33429,140,67,28,-104,1
15015,30,10923,5,11311.04,7,37180,163,68,26,-105,1
15745.71,34,10219.69,1,10923,5,41868.75,191,65,27,-106,1
14347.83,26,9900,0,10219.69,1,37180,163,65,27,-104,1
13173.6,19,9599.12,-2,10219.69,1,33429,140,65,28,-107,0
11726.79,10,9315.43,-4,9599.12,-2,33429,140,66,26,-105,0
11311.04,7,9599.12,-2,9315.43,-4,23783.57,82,65,26,-104,0
10219.69,1,9315.43,-4,9315.43,-4,19528.23,57,67,26,-104,0
10219.69,1,9047.5,-5,7903.9,-12,14347.83,26,66,28,-106,0
10560,3,9047.5,-5,4634.56,-32,13173.6,19,66,28,-103,0
9900,0,9047.5,-5,9315.43,-4,12654.23,15,69,27,-103,0
9900,0,9047.5,-5,9599.12,-2,11311.04,7,66,29,-105,0
9900,0,9047.5,-5,9900,0,10923,5,65,30,-105,0
10219.69,1,9315.43,-4,9315.43,-4,10560,3,67,29,-105,0
10560,3,10219.69,1,10560,3,7342.5,-15,64,29,-102,0
10219.69,1,10219.69,1,11311.04,7,7342.5,-15,61,28,-102,0
10560,3,10219.69,1,11726.79,10,7172,-16,63,29,-101,0
10219.69,1,10560,3,12654.23,15,7172,-16,62,28,-103,0
10560,3,10219.69,1,13736.25,22,7342.5,-15,62,28,-101,0
10560,3,10560,3,15015,30,7342.5,-15,62,28,-101,0
10560,3,10923,5,16549.5,39,7342.5,-15,62,29,-101,0
10923,5,11726.79,10,18425,50,7342.5,-15,64,29,-103,0
11311.04,7,13173.6,19,20769.38,64,7342.5,-15,64,26,-102,0
12173.33,13,15015,30,20769.38,64,7172,-16,63,28,-103,0
12654.23,15,15015,30,20769.38,64,7520.93,-14,61,29,-100,0
12654.23,15,17437.89,44,22176,73,7520.93,-14,61,29,-99,0
14347.83,26,18425,50,23783.57,82,8326.15,-10,61,27,-104,0
15015,30,18425,50,25638.46,93,9047.5,-5,63,29,-101,0
15745.71,34,19528.23,57,25638.46,93,9315.43,-4,61,27,-101,0
17437.89,44,19528.23,57,27802.5,106,10219.69,1,63,26,-102,0
20769.38,64,20769.38,64,30360,122,10560,3,63,28,-103,1
20769.38,64,22176,73,25638.46,93,11726.79,10,63,27,-102,1
20769.38,64,22176,73,25638.46,93,12173.33,13,62,28,-101,1
18425,50,23783.57,82,25638.46,93,13736.25,22,61,27,-102,1
20769.38,64,25638.46,93,30360,122,14347.83,26,61,27,-101,1
18425,50,23783.57,82,27802.5,106,15015,30,60,28,-102,1
18425,50,27802.5,106,25638.46,93,17437.89,44,63,26,-101,1
18425,50,25638.46,93,23783.57,82,18425,50,62,29,-101,1
17437.89,44,27802.5,106,22176,73,19528.23,57,62,28,-102,1
17437.89,44,25638.46,93,22176,73,19528.23,57,59,26,-102,1
18425,50,25638.46,93,22176,73,19528.23,57,60,29,-101,1
18425,50,25638.46,93,20769.38,64,19528.23,57,62,29,-104,1
18425,50,27802.5,106,19528.23,57,19528.23,57,62,28,-103,1
16549.5,39,25638.46,93,19528.23,57,18425,50,62,27,-103,1
12654.23,15,23783.57,82,17437.89,44,18425,50,61,26,-102,1
12173.33,13,22176,73,15015,30,17437.89,44,60,27,-103,1
11311.04,7,22176,73,14347.83,26,16549.5,39,61,27,-102,1
10560,3,20769.38,64,12654.23,15,15015,30,59,28,-104,0
10219.69,1,19528.23,57,11726.79,10,12654.23,15,60,27,-103,0
10219.69,1,17437.89,44,10560,3,13173.6,19,62,27,-104,0
10219.69,1,16549.5,39,10560,3,12173.33,13,61,28,-103,0
9900,0,15745.71,34,10219.69,1,10923,5,62,27,-102,0
10219.69,1,13736.25,22,9900,0,10219.69,1,62,29,-103,0
10219.69,1,12654.23,15,9599.12,-2,9315.43,-4,59,29,-102,0
9900,0,12173.33,13,9599.12,-2,9047.5,-5,63,29,-101,0
9900,0,11726.79,10,9900,0,8553.95,-8,61,26,-102,0
9900,0,11311.04,7,9900,0,8326.15,-10,61,26,-103,0
9900,0,10560,3,9900,0,8109.75,-11,60,28,-102,0
10219.69,1,10219.69,1,9599.12,-2,8109.75,-11,59,27,-101,0
10219.69,1,9599.12,-2,9599.12,-2,8109.75,-11,65,28,-103,0
10219.69,1,9599.12,-2,9900,0,7520.93,-14,61,27,-102,0
10219.69,1,9315.43,-4,9599.12,-2,7707.86,-13,63,28,-102,0
9599.12,-2,9599.12,-2,10219.69,1,7172,-16,61,28,-103,0
9900,0,9599.12,-2,9900,0,7008.91,-17,61,28,-100,0
9900,0,9315.43,-4,9599.12,-2,7008.91,-17,64,28,-104,0
10560,3,10219.69,1,9599.12,-2,9599.12,-2,45,35,-95,0
10560,3,10219.69,1,9599.12,-2,9599.12,-2,44,33,-96,0
10560,3,9900,0,9599.12,-2,9599.12,-2,44,35,-97,0
10923,5,9900,0,9599.12,-2,9599.12,-2,43,36,-95,0
11311.04,7,10219.69,1,9900,0,9900,0,44,33,-97,0
10560,3,10219.69,1,9599.12,-2,9599.12,-2,44,35,-96,0
11311.04,7,9900,0,9900,0,9900,0,45,33,-96,0
11726.79,10,10219.69,1,9900,0,9900,0,43,35,-96,0
12173.33,13,10923,5,9900,0,9900,0,43,34,-95,0
12654.23,15,12173.33,13,10923,5,10923,5,44,34,-94,0
13736.25,22,12654.23,15,12173.33,13,12173.33,13,43,35,-97,1
13736.25,22,12654.23,15,13173.6,19,13173.6,19,44,34,-97,1
13736.25,22,14347.83,26,13736.25,22,13736.25,22,45,34,-98,1
15015,30,16549.5,39,15745.71,34,15745.71,34,43,36,-95,1
15015,30,16549.5,39,16549.5,39,16549.5,39,42,35,-96,1
16549.5,39,17437.89,44,17437.89,44,17437.89,44,44,32,-95,1
17437.89,44,18425,50,20769.38,64,20769.38,64,43,34,-95,1
17437.89,44,20769.38,64,23783.57,82,23783.57,82,43,33,-97,1
20769.38,64,22176,73,22176,73,22176,73,44,33,-98,1
20769.38,64,23783.57,82,25638.46,93,25638.46,93,45,34,-97,1
22176,73,25638.46,93,23783.57,82,23783.57,82,46,35,-97,1
22176,73,25638.46,93,25638.46,93,25638.46,93,43,34,-96,1
20769.38,64,25638.46,93,25638.46,93,25638.46,93,42,34,-98,1
23783.57,82,27802.5,106,25638.46,93,25638.46,93,44,34,-96,1
23783.57,82,27802.5,106,23783.57,82,23783.57,82,43,32,-96,1
23783.57,82,27802.5,106,23783.57,82,23783.57,82,43,34,-96,1
23783.57,82,27802.5,106,27802.5,106,27802.5,106,42,34,-97,1
25638.46,93,27802.5,106,25638.46,93,25638.46,93,42,36,-98,1
25638.46,93,27802.5,106,27802.5,106,27802.5,106,43,32,-97,1
22176,73,23783.57,82,25638.46,93,25638.46,93,43,35,-97,1
23783.57,82,20769.38,64,23783.57,82,23783.57,82,45,35,-96,1
25638.46,93,18425,50,25638.46,93,25638.46,93,43,33,-96,1
27802.5,106,15015,30,23783.57,82,23783.57,82,45,35,-97,1
23783.57,82,13736.25,22,22176,73,22176,73,43,35,-98,1
23783.57,82,13173.6,19,20769.38,64,20769.38,64,44,34,-97,1
22176,73,12654.23,15,17437.89,44,17437.89,44,45,33,-98,1
19528.23,57,12173.33,13,16549.5,39,16549.5,39,44,33,-97,1
17437.89,44,11726.79,10,15745.71,34,15745.71,34,45,32,-98,1
16549.5,39,10560,3,16549.5,39,16549.5,39,45,33,-97,1
15745.71,34,10219.69,1,14347.83,26,14347.83,26,45,31,-96,1
14347.83,26,9900,0,14347.83,26,14347.83,26,45,34,-97,1
15015,30,9315.43,-4,13736.25,22,13736.25,22,44,32,-98,1
13173.6,19,9315.43,-4,13173.6,19,13173.6,19,45,34,-97,1
13173.6,19,9315.43,-4,12173.33,13,12173.33,13,45,34,-97,0
12173.33,13,9047.5,-5,11311.04,7,11311.04,7,43,34,-96,0
12173.33,13,9315.43,-4,10560,3,10560,3,44,33,-98,0
11726.79,10,9315.43,-4,10560,3,10560,3,44,34,-96,0
11311.04,7,9047.5,-5,9599.12,-2,9599.12,-2,44,35,-97,0
10923,5,9315.43,-4,9900,0,9900,0,44,34,-99,0
10560,3,9315.43,-4,9900,0,9900,0,42,33,-98,0
10560,3,9047.5,-5,9900,0,9900,0,44,34,-98,0
10923,5,9900,0,9900,0,9900,0,45,31,-96,0
10560,3,9599.12,-2,9599.12,-2,9599.12,-2,45,33,-96,0
10560,3,9900,0,9315.43,-4,9315.43,-4,44,34,-96,0
10560,3,9599.12,-2,9900,0,9900,0,45,32,-96,0
10923,5,9599.12,-2,9599.12,-2,9599.12,-2,47,31,-98,0
10923,5,10219.69,1,9599.12,-2,9599.12,-2,47,33,-98,0
11311.04,7,9599.12,-2,9599.12,-2,9599.12,-2,45,31,-99,0
13736.25,22,9900,0,10560,3,10560,3,44,31,-99,0
13736.25,22,9599.12,-2,13173.6,19,13173.6,19,44,32,-99,1
15015,30,10560,3,16549.5,39,16549.5,39,43,32,-97,1
15745.71,34,10923,5,18425,50,18425,50,43,32,-98,1
17437.89,44,12173.33,13,19528.23,57,19528.23,57,45,31,-101,1
17437.89,44,13736.25,22,22176,73,22176,73,44,33,-97,1
19528.23,57,14347.83,26,23783.57,82,23783.57,82,44,33,-98,1
18425,50,15015,30,23783.57,82,23783.57,82,44,30,-98,1
19528.23,57,15745.71,34,23783.57,82,23783.57,82,43,31,-100,1
19528.23,57,16549.5,39,25638.46,93,25638.46,93,42,32,-97,1
20769.38,64,17437.89,44,23783.57,82,23783.57,82,43,32,-99,1
20769.38,64,18425,50,25638.46,93,25638.46,93,44,33,-100,1
19528.23,57,20769.38,64,25638.46,93,25638.46,93,43,32,-98,1
19528.23,57,20769.38,64,27802.5,106,27802.5,106,43,34,-99,1
18425,50,22176,73,25638.46,93,25638.46,93,41,32,-99,1
18425,50,25638.46,93,25638.46,93,25638.46,93,43,32,-101,1
18425,50,23783.57,82,25638.46,93,25638.46,93,44,31,-99,1
17437.89,44,23783.57,82,25638.46,93,25638.46,93,44,32,-99,1
15015,30,25638.46,93,27802.5,106,27802.5,106,42,31,-101,1
15015,30,23783.57,82,27802.5,106,27802.5,106,41,30,-100,1
13736.25,22,22176,73,27802.5,106,27802.5,106,44,32,-99,1
12654.23,15,19528.23,57,25638.46,93,25638.46,93,41,30,-100,1
11726.79,10,18425,50,25638.46,93,25638.46,93,42,31,-102,1
11311.04,7,17437.89,44,16549.5,39,16549.5,39,41,33,-100,1
11311.04,7,15745.71,34,12654.23,15,12654.23,15,43,34,-99,1
10923,5,14347.83,26,12173.33,13,12173.33,13,43,31,-98,1
10923,5,14347.83,26,11311.04,7,11311.04,7,43,31,-98,1
10560,3,13173.6,19,10560,3,10560,3,43,33,-99,1
10560,3,12173.33,13,9599.12,-2,9599.12,-2,42,31,-99,0
10560,3,12173.33,13,9900,0,9900,0,43,31,-99,0
10219.69,1,11311.04,7,9900,0,9900,0,42,31,-99,0
10923,5,10560,3,9599.12,-2,9599.12,-2,41,32,-100,0
10219.69,1,9315.43,-4,10219.69,1,10219.69,1,43,30,-98,0
10219.69,1,9599.12,-2,9900,0,9900,0,42,32,-99,0
10219.69,1,9900,0,9900,0,9900,0,39,33,-98,0
10560,3,9900,0,9900,0,9900,0,40,31,-98,0
10219.69,1,9315.43,-4,9599.12,-2,9599.12,-2,43,32,-97,0
10219.69,1,9599.12,-2,9599.12,-2,9599.12,-2,43,33,-99,0
10560,3,9315.43,-4,9900,0,9900,0,43,33,-99,0
10219.69,1,9315.43,-4,9599.12,-2,9599.12,-2,43,32,-100,0
10560,3,9315.43,-4,9900,0,9900,0,42,31,-99,0
10219.69,1,9047.5,-5,9900,0,9900,0,43,31,-102,0
10219.69,1,9315.43,-4,9599.12,-2,9599.12,-2,41,32,-100,0
9900,0,9047.5,-5,9599.12,-2,9599.12,-2,42,32,-100,0
10219.69,1,11726.79,10,11726.79,10,10219.69,1,68,32,-156,3
10219.69,1,11726.79,10,12173.33,13,9900,0,68,31,-157,3
10219.69,1,11311.04,7,11726.79,10,9599.12,-2,66,32,-155,3
10219.69,1,12173.33,13,11311.04,7,9599.12,-2,66,31,-155,3
10560,3,11311.04,7,11311.04,7,9900,0,69,34,-157,3
10219.69,1,13173.6,19,13173.6,19,10560,3,68,34,-157,3
10560,3,13173.6,19,12654.23,15,10923,5,68,33,-157,3
11311.04,7,13736.25,22,13173.6,19,10923,5,66,32,-155,3
11726.79,10,15015,30,13736.25,22,12654.23,15,67,34,-158,3
12654.23,15,15745.71,34,14347.83,26,13173.6,19,66,31,-156,3
13736.25,22,17437.89,44,16549.5,39,14347.83,26,68,33,-155,3
14347.83,26,17437.89,44,19528.23,57,15015,30,69,34,-157,3
16549.5,39,20769.38,64,20769.38,64,16549.5,39,65,34,-158,3
19528.23,57,19528.23,57,20769.38,64,18425,50,66,33,-158,3
19528.23,57,22176,73,22176,73,19528.23,57,68,35,-158,3
19528.23,57,25638.46,93,22176,73,19528.23,57,68,31,-157,3
19528.23,57,25638.46,93,23783.57,82,18425,50,67,32,-158,3
20769.38,64,25638.46,93,25638.46,93,18425,50,66,34,-157,3
20769.38,64,27802.5,106,25638.46,93,18425,50,69,34,-156,3
22176,73,25638.46,93,27802.5,106,17437.89,44,68,35,-159,3
22176,73,27802.5,106,27802.5,106,17437.89,44,67,33,-158,3
22176,73,25638.46,93,30360,122,15745.71,34,67,34,-157,3
22176,73,25638.46,93,27802.5,106,15015,30,68,33,-158,3
25638.46,93,25638.46,93,30360,122,13736.25,22,68,34,-157,3
25638.46,93,22176,73,30360,122,11726.79,10,69,34,-157,3
25638.46,93,18425,50,30360,122,10923,5,68,33,-156,3
22176,73,18425,50,30360,122,10560,3,69,34,-156,3
20769.38,64,17437.89,44,27802.5,106,10219.69,1,68,34,-158,3
17437.89,44,15745.71,34,30360,122,9599.12,-2,69,34,-157,3
17437.89,44,15015,30,30360,122,9315.43,-4,69,33,-158,3
16549.5,39,14347.83,26,27802.5,106,9047.5,-5,68,34,-158,3
15015,30,13736.25,22,27802.5,106,9315.43,-4,68,34,-158,3
14347.83,26,13736.25,22,25638.46,93,9047.5,-5,68,35,-156,3
13736.25,22,12654.23,15,27802.5,106,8794.05,-7,69,36,-158,3
11726.79,10,12173.33,13,25638.46,93,8553.95,-8,68,33,-156,3
11726.79,10,12173.33,13,20769.38,64,8326.15,-10,69,34,-157,3
11311.04,7,11311.04,7,17437.89,44,8109.75,-11,69,34,-157,3
10923,5,11311.04,7,15745.71,34,7903.9,-12,70,33,-158,3
10560,3,10560,3,15015,30,7903.9,-12,71,34,-158,3
10219.69,1,10560,3,12654.23,15,8326.15,-10,69,34,-157,3
10219.69,1,10219.69,1,12173.33,13,8326.15,-10,69,34,-157,3
10560,3,10219.69,1,11726.79,10,8109.75,-11,69,34,-158,3
10560,3,9900,0,10923,5,8326.15,-10,68,34,-157,3
10219.69,1,9900,0,10560,3,8553.95,-8,70,34,-156,3
10560,3,9900,0,9900,0,8326.15,-10,72,35,-157,3
10560,3,9900,0,9900,0,8553.95,-8,70,36,-157,3
10219.69,1,10219.69,1,9900,0,8553.95,-8,71,35,-157,3
10219.69,1,9900,0,9900,0,8326.15,-10,71,36,-156,3
10560,3,9900,0,9900,0,8553.95,-8,71,36,-157,3
10219.69,1,10219.69,1,9900,0,8794.05,-7,68,34,-156,3
10560,3,10219.69,1,9900,0,8326.15,-10,71,35,-155,3
10923,5,11311.04,7,11726.79,10,9599.12,-2,63,36,-159,3
10560,3,11311.04,7,11726.79,10,10219.69,1,62,36,-159,3
10219.69,1,11726.79,10,12654.23,15,9599.12,-2,65,35,-158,3
10923,5,11311.04,7,11726.79,10,9599.12,-2,64,34,-158,3
10923,5,11726.79,10,12654.23,15,9599.12,-2,63,35,-159,3
10923,5,12173.33,13,12654.23,15,9599.12,-2,63,36,-157,3
10560,3,13736.25,22,13736.25,22,10219.69,1,63,34,-160,3
10923,5,15015,30,14347.83,26,10219.69,1,65,36,-157,3
11311.04,7,16549.5,39,17437.89,44,10219.69,1,63,36,-159,3
11726.79,10,17437.89,44,16549.5,39,10560,3,62,36,-160,3
12654.23,15,18425,50,20769.38,64,10923,5,65,35,-159,3
14347.83,26,19528.23,57,23783.57,82,11726.79,10,65,36,-160,3
15015,30,19528.23,57,27802.5,106,13736.25,22,64,37,-160,3
15745.71,34,19528.23,57,27802.5,106,15015,30,66,34,-158,3
17437.89,44,19528.23,57,27802.5,106,15745.71,34,64,36,-158,3
18425,50,22176,73,33429,140,16549.5,39,65,36,-161,3
19528.23,57,23783.57,82,30360,122,15745.71,34,64,36,-158,3
20769.38,64,23783.57,82,27802.5,106,18425,50,63,34,-159,3
23783.57,82,23783.57,82,30360,122,18425,50,64,35,-161,3
23783.57,82,23783.57,82,27802.5,106,19528.23,57,66,35,-159,3
22176,73,23783.57,82,27802.5,106,19528.23,57,63,37,-159,3
25638.46,93,25638.46,93,27802.5,106,19528.23,57,65,35,-158,3
27802.5,106,23783.57,82,25638.46,93,19528.23,57,63,34,-158,3
25638.46,93,22176,73,25638.46,93,20769.38,64,66,36,-160,3
25638.46,93,25638.46,93,22176,73,19528.23,57,66,36,-159,3
27802.5,106,25638.46,93,20769.38,64,19528.23,57,63,35,-160,3
25638.46,93,23783.57,82,17437.89,44,20769.38,64,64,33,-156,3
25638.46,93,22176,73,15745.71,34,18425,50,63,34,-161,3
27802.5,106,25638.46,93,14347.83,26,18425,50,65,37,-158,3
27802.5,106,23783.57,82,13736.25,22,18425,50,64,33,-159,3
27802.5,106,23783.57,82,13173.6,19,16549.5,39,64,35,-160,3
27802.5,106,23783.57,82,12173.33,13,15745.71,34,63,35,-159,3
27802.5,106,22176,73,11726.79,10,15745.71,34,65,34,-158,3
25638.46,93,19528.23,57,11726.79,10,14347.83,26,65,35,-159,3
25638.46,93,22176,73,11311.04,7,13736.25,22,63,34,-160,3
23783.57,82,20769.38,64,10560,3,12173.33,13,65,36,-159,3
22176,73,18425,50,10219.69,1,11311.04,7,63,34,-160,3
17437.89,44,16549.5,39,10219.69,1,10923,5,65,35,-160,3
16549.5,39,15015,30,10219.69,1,10923,5,65,36,-158,3
15015,30,15015,30,10219.69,1,9900,0,64,36,-159,3
